City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,54.81,58,82,2.68,AR,1675808811
1,punta arenas,-53.15,-70.9167,60.91,59,75,14.97,CL,1675808977
2,cape town,-33.9258,18.4232,71.38,75,30,11.99,ZA,1675808953
3,hobart,-42.8794,147.3294,58.86,65,75,10.36,AU,1675808978
4,fort-shevchenko,44.5086,50.263,38.07,83,100,24.38,KZ,1675808980
5,bredasdorp,-34.5322,20.0403,67.35,74,93,9.46,ZA,1675808980
6,atuona,-9.8,-139.0333,78.37,78,11,15.3,PF,1675808983
7,busselton,-33.65,115.3333,62.69,84,27,9.62,AU,1675808984
8,clearwater,27.9659,-82.8001,80.58,53,0,5.99,US,1675808752
9,bluff,-46.6,168.3333,51.8,67,79,25.7,NZ,1675808985
10,chapais,49.7834,-74.8492,19.18,95,100,12.77,CA,1675808724
11,leningradskiy,69.3833,178.4167,-25.37,96,100,5.59,RU,1675808985
12,upernavik,72.7868,-56.1549,-19.37,97,83,2.98,GL,1675808986
13,half moon bay,37.4636,-122.4286,63.91,59,75,1.01,US,1675808954
14,hilo,19.7297,-155.09,73.13,96,100,1.99,US,1675808722
15,pevek,69.7008,170.3133,-22.23,95,100,2.8,RU,1675808987
16,rikitea,-23.1203,-134.9692,78.82,74,84,12.12,PF,1675808987
17,seddon,-37.8068,144.8916,65.86,68,75,5.75,AU,1675808988
18,shimoda,34.6667,138.95,48.11,78,90,4.92,JP,1675808988
19,russell,32.3502,-85.1999,70.83,40,0,4.61,US,1675808988
20,ahuimanu,21.4447,-157.8378,80.31,81,40,12.66,US,1675808722
21,los llanos de aridane,28.6585,-17.9182,58.75,85,100,11.5,ES,1675808989
22,bindura,-17.3019,31.3306,63.64,87,6,1.59,ZW,1675808989
23,kapaa,22.0752,-159.319,80.92,84,40,11.5,US,1675808990
24,cafelandia,-21.8025,-49.61,73.44,89,100,4.85,BR,1675808990
